('bug', 0.04690191247096865)
('mars', 0.04394825453567454)
('software', 0.03350136605069189)
('underlying', 0.026801092840553514)
('units', 0.026801092840553514)
('climate', 0.017830871966270128)
('martin', 0.013912005518272767)
('per', 0.01372237511831411)
('code', 0.010987063633918635)
('operating', 0.010987063633918635)
('crashed', 0.010987063633918635)
('rocket', 0.007946434921025832)
('drift', 0.006861187559157055)
('planet', 0.006861187559157055)
('program', 0.0067002732101383786)
('specification', 0.0067002732101383786)
('quiz', 0.0067002732101383786)
('1999', 0.0067002732101383786)
('1998', 0.0067002732101383786)
('hardware', 0.0067002732101383786)
('valid', 0.0067002732101383786)
('caused', 0.0066715571591984026)
('mission', 0.005493531816959317)
('actual', 0.005148794270753598)
('ahead', 0.005148794270753598)
('actually', 0.004879854521143481)
('libraries', 0.004637335172757589)
('test', 0.004447704772798935)
('tested', 0.003973217460512916)
('problems', 0.003973217460512916)
('atmosphere', 0.003820558846264254)
('suicide', 0.0034305937795785276)
("let's", 0.0027353114843954767)
('contracted', 0.002574397135376799)
('correct', 0.002574397135376799)
('expecting', 0.002574397135376799)
('system', 0.002574397135376799)
('earlier', 0.002574397135376799)
('example', 0.0022588667958625217)
('english', 0.0022588667958625217)
('crash', 0.0022238523863994677)
("didn't", 0.0022238523863994677)
('error', 0.001910279423132127)
("don't", 0.0018177479139951302)
('happened', 0.0018177479139951302)
('terms', 0.0016266181737144938)
('entirely', 0.0013676557421977383)
('famous', 0.0011294333979312609)
('plan', 0.0011294333979312609)
('bit', 0.0009088739569975651)
('anything', 0.0009088739569975651)
('sending', 0.0009088739569975651)
('later', 0.0009088739569975651)
('between', 0.0007035380299530665)
('expected', 0.0007035380299530665)
('talk', 0.0007035380299530665)
('feet', 0.0006620573518465738)
('second', 0.0006436573960747118)
('its', 0.0005114590979960096)
('under', 0.0005114590979960096)
('up', 0.0005114590979960096)
('ways', 0.0005114590979960096)
('turn', 0.0005114590979960096)
('mark', 0.0005114590979960096)
('have', 0.0005114590979960096)
('mean', 0.0003310286759232869)
('broke', 0.0003310286759232869)
('kind', 0.0003310286759232869)
('wrong', 0.0003310286759232869)
('orbiter', 0.00020833333333333332)
('course', 0.00016091434901867796)
('fit', 0.00016091434901867796)
('sent', 0.00016091434901867796)
('because', 0.00016091434901867796)
('people', 0.00016091434901867796)
('enough', 0.00016091434901867796)
('got', 0.00016091434901867796)
('neither', 0.00016091434901867796)
('quite', 0.00016091434901867796)
('been', 0.00016091434901867796)
('least', 0.00016091434901867796)
('look', 0.00016091434901867796)
('ran', 0.00016091434901867796)
('answer', 0.00016091434901867796)
('lockheed', 8.928571428571429e-05)
('nasa', 8.928571428571429e-05)
('martian', 5.9523809523809524e-05)
('meters', 5.9523809523809524e-05)
('basic', 5.9523809523809524e-05)
('acceptability', 2.9761904761904762e-05)
('flowchart', 2.9761904761904762e-05)
('compiler', 2.9761904761904762e-05)
('miscommunication', 2.9761904761904762e-05)
('unit', 2.9761904761904762e-05)
('metric', 2.9761904761904762e-05)
('programmed', 2.9761904761904762e-05)
('basically', 2.9761904761904762e-05)
('miscommunications', 2.9761904761904762e-05)
('okay', 2.9761904761904762e-05)
('bugs', 2.9761904761904762e-05)
('go', 0.0)
('had', 0.0)
('to', 0.0)
('do', 0.0)
('they', 0.0)
('this', 0.0)
('some', 0.0)
('see', 0.0)
('are', 0.0)
('out', 0.0)
('for', 0.0)
('we', 0.0)
('here', 0.0)
('by', 0.0)
('both', 0.0)
('of', 0.0)
('or', 0.0)
('into', 0.0)
('your', 0.0)
('there', 0.0)
('was', 0.0)
('more', 0.0)
('that', 0.0)
('about', 0.0)
('but', 0.0)
('with', 0.0)
('while', 0.0)
('time', 0.0)
('were', 0.0)
('and', 0.0)
('is', 0.0)
('it', 0.0)
('an', 0.0)
('say', 0.0)
('at', 0.0)
('in', 0.0)
('these', 0.0)
('when', 0.0)
('how', 0.0)
('take', 0.0)
('which', 0.0)
('what', 0.0)
('on', 0.0)
('why', 0.0)
('a', 0.0)
('off', 0.0)
('i', 0.0)
('so', 0.0)
('the', 0.0)
