('minus', 0.012081748665138487)
('1', 0.008894490991702168)
('2', 0.007326911750585604)
('the', 0.006184471869562051)
('to', 0.0059184730794733615)
('2x', 0.005861529400468483)
('third', 0.005177892285059353)
('is', 0.004521979431507736)
('condition', 0.004396147050351362)
('3', 0.004396147050351362)
('squared', 0.004298038931052503)
('linear', 0.004142313828047482)
('negative', 0.003797121009043525)
('this', 0.0035909836661973202)
('and', 0.003457984271152975)
('y', 0.003457984271152975)
('initial', 0.0034519281900395682)
('of', 0.003125485783542112)
('plus', 0.0030589860860199395)
('so', 0.002992486388497767)
('4', 0.0029307647002342414)
('c', 0.002865359287368335)
('non', 0.0027615425520316544)
('both', 0.0027220913229999183)
('sides', 0.0027220913229999183)
('you', 0.0025934882033647314)
('arbitrary', 0.002442303916861868)
('square', 0.002442303916861868)
('i', 0.002260989715753868)
('integrate', 0.002071156914023741)
('dependent', 0.002071156914023741)
('4x', 0.002071156914023741)
('explicit', 0.002071156914023741)
('a', 0.001994990925665178)
('3x', 0.0019538431334894944)
('multiplying', 0.0019538431334894944)
('constant', 0.0018624835367894179)
('equal', 0.0017289921355764875)
('has', 0.0017259640950197841)
('really', 0.0017259640950197841)
('class', 0.0017259640950197841)
('first', 0.001719215572421001)
('just', 0.0016624924380543148)
('x', 0.0016624924380543148)
('separable', 0.0016384588668925046)
('multiply', 0.0016384588668925046)
('equation', 0.0015959927405321422)
('we', 0.0015959927405321422)
('that', 0.0015294930430099698)
('satisfied', 0.0014653823501171207)
('algebra', 0.0014653823501171207)
('order', 0.0014653823501171207)
('anything', 0.0014653823501171207)
('separated', 0.0014653823501171207)
('magenta', 0.0014653823501171207)
('constants', 0.0014653823501171207)
('have', 0.0014629933454877971)
('form', 0.0014043933144792897)
('too', 0.0013807712760158272)
('someone', 0.0013807712760158272)
("i've", 0.0013807712760158272)
('2y', 0.0013807712760158272)
('due', 0.0013807712760158272)
('pick', 0.0013807712760158272)
('variable', 0.0013807712760158272)
('becomes', 0.0013807712760158272)
('completing', 0.0013807712760158272)
('regular', 0.0013807712760158272)
('get', 0.0013299939504434518)
('over', 0.0012894116793157509)
('write', 0.0012894116793157509)
('times', 0.0012634942529212794)
('why', 0.0011703277620660748)
('implicit', 0.0011703277620660748)
('solution', 0.001146143714947334)
('there', 0.001146143714947334)
('want', 0.001146143714947334)
('it', 0.001130494857876934)
('separate', 0.0010355784570118705)
('makes', 0.0010355784570118705)
('if', 0.000997495462832589)
("that's", 0.000997495462832589)
('satisfies', 0.0009769215667447472)
('terms', 0.0009769215667447472)
('original', 0.0009769215667447472)
('differentials', 0.0009769215667447472)
('back', 0.0009769215667447472)
('space', 0.0009769215667447472)
('never', 0.0009769215667447472)
('reason', 0.0009769215667447472)
('called', 0.0009769215667447472)
('step', 0.0009769215667447472)
('else', 0.0009769215667447472)
('root', 0.0009769215667447472)
('rid', 0.0009769215667447472)
('fairly', 0.0009769215667447472)
('point', 0.0009362622096528598)
('add', 0.0009362622096528598)
("they're", 0.0009362622096528598)
('make', 0.0009362622096528598)
('here', 0.0009309957653104163)
('in', 0.0009309957653104163)
('0', 0.0008644960677882437)
("let's", 0.0008644960677882437)
('all', 0.0008596077862105005)
('solve', 0.0008596077862105005)
('dx', 0.0007979963702660711)
('differential', 0.0007979963702660711)
('can', 0.0007979963702660711)
('well', 0.0007979963702660711)
('could', 0.0007314966727438986)
('but', 0.0007314966727438986)
('for', 0.0007163398218420837)
('antiderivative', 0.0007163398218420837)
('put', 0.0007021966572396449)
('integral', 0.0007021966572396449)
('these', 0.0007021966572396449)
('also', 0.0007021966572396449)
("you'll", 0.0007021966572396449)
('nicer', 0.0006903856380079136)
('carefully', 0.0006903856380079136)
('3y', 0.0006903856380079136)
('previous', 0.0006903856380079136)
('perfect', 0.0006903856380079136)
('better', 0.0006903856380079136)
('reals', 0.0006903856380079136)
('look', 0.0006903856380079136)
('skills', 0.0006903856380079136)
('separately', 0.0006903856380079136)
('exercises', 0.0006903856380079136)
('terminology', 0.0006903856380079136)
('relative', 0.0006903856380079136)
('go', 0.0006903856380079136)
('3c', 0.0006903856380079136)
('exercise', 0.0006903856380079136)
('multiplied', 0.0006903856380079136)
('notice', 0.0006903856380079136)
('run', 0.0006903856380079136)
('disappeared', 0.0006903856380079136)
('wanted', 0.0006903856380079136)
('care', 0.0006903856380079136)
('getting', 0.0006903856380079136)
('image', 0.0006903856380079136)
('down', 0.0006903856380079136)
('cy', 0.0006903856380079136)
('cx', 0.0006903856380079136)
('learning', 0.0006903856380079136)
('takes', 0.0006903856380079136)
('their', 0.0006903856380079136)
('antiderivatives', 0.0006903856380079136)
('show', 0.0006903856380079136)
('waste', 0.0006903856380079136)
('labelled', 0.0006903856380079136)
('highest', 0.0006903856380079136)
('remember', 0.0006903856380079136)
('showed', 0.0006903856380079136)
('itself', 0.0006903856380079136)
('anyways', 0.0006903856380079136)
('geeky', 0.0006903856380079136)
("we'd", 0.0006903856380079136)
('gives', 0.0006903856380079136)
('goal', 0.0006903856380079136)
('optimal', 0.0006903856380079136)
('ordinary', 0.0006903856380079136)
('calculus', 0.0006903856380079136)
('value', 0.0006903856380079136)
('undefined', 0.0006903856380079136)
('clear', 0.0006903856380079136)
('depending', 0.0006903856380079136)
('expression', 0.0006903856380079136)
('scroll', 0.0006903856380079136)
('once', 0.0006903856380079136)
('what', 0.0006649969752217259)
('then', 0.0006649969752217259)
('an', 0.0006649969752217259)
('when', 0.0006649969752217259)
('do', 0.0005984972776995534)
('they', 0.000573071857473667)
('like', 0.000573071857473667)
