start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry
46	156	61	76	190	208
168	228	160	203	172	223
246	474	48	66	205	243
663	730	183	88	293	175
742	918	114	102	325	227
925	1189	232	67	432	188
1196	1503	0	59	615	205
1542	2121	504	80	565	117
2141	2225	755	55	875	186
2244	2486	751	51	907	197
2487	2689	782	167	871	197
2692	3154	783	169	800	192
3167	3233	973	41	1085	178
3245	3675	969	54	1099	179
3677	3697	974	112	988	134
3710	3901	302	92	1097	250
3906	3921	302	212	369	250
3925	3935	349	210	370	232
3936	3962	348	223	362	234
3985	4021	85	565	99	579
4024	4052	85	455	131	579
4109	4218	50	335	219	515
4219	4259	82	450	134	509
4261	4262	120	453	134	465
4290	4301	119	449	133	464
4312	4314	123	451	137	468
4315	4317	122	455	137	470
4323	4329	122	457	137	477
4333	4335	121	466	136	482
4340	4342	119	466	137	480
4343	4350	123	467	138	487
4354	4370	120	472	139	496
4372	4382	116	478	135	505
4388	4399	112	492	137	521
4417	4474	119	508	141	522
4478	4484	112	503	143	520
4498	4503	120	510	143	522
4504	4507	124	505	143	521
4508	4510	126	508	143	520
4518	4519	123	510	143	522
4523	4535	122	511	149	527
4550	4938	66	338	211	528
5009	5089	132	399	147	423
5201	5369	176	272	459	342
5388	5733	40	321	227	533
5795	6130	37	323	413	475
6181	6768	145	346	479	608
6772	6845	109	417	120	428
6901	6982	506	377	557	494
6996	7113	112	382	657	428
7152	7880	120	188	716	443
7882	8047	120	418	344	518
8053	8074	331	487	350	513
8075	8153	335	484	410	527
8158	8163	393	513	411	527
8164	8232	393	435	448	527
8236	8261	426	447	448	470
8266	8289	428	455	442	466
