('software', 0.014766559324121313)
('testing', 0.014270996416439917)
('outputs', 0.01333671974103927)
('spending', 0.010002539805779451)
('effort', 0.010002539805779451)
('own', 0.00912945309120652)
('bugs', 0.008599043479582867)
('cost', 0.008156719890264287)
('test', 0.007473087786005982)
('find', 0.007165869566319056)
('may', 0.0068470898184048905)
('fact', 0.0068470898184048905)
('money', 0.006668359870519635)
('facts', 0.006668359870519635)
('fundamentally', 0.006668359870519635)
('quality', 0.006668359870519635)
('designing', 0.006668359870519635)
('hard', 0.006668359870519635)
('bug', 0.006668359870519635)
('us', 0.006668359870519635)
('goal', 0.006668359870519635)
('finding', 0.006668359870519635)
('fundamental', 0.006668359870519635)
('understand', 0.006668359870519635)
('reason', 0.0058312618154570455)
('course', 0.005732695653055245)
('always', 0.005732695653055245)
('found', 0.005437813260176191)
("isn't", 0.005437813260176191)
('effective', 0.005437813260176191)
('doing', 0.005001269902889726)
('really', 0.004922186441373771)
('good', 0.004922186441373771)
('acceptability', 0.00456472654560326)
('early', 0.00456472654560326)
('inputs', 0.00456472654560326)
('trying', 0.00456472654560326)
('developers', 0.00456472654560326)
('our', 0.0043069131362020495)
('rather', 0.004299521739791434)
('finally', 0.0038875078769713637)
('second', 0.0038875078769713637)
('later', 0.0038875078769713637)
('third', 0.0038875078769713637)
('all', 0.003736543893002991)
("we're", 0.0036916398310303284)
("it's", 0.0034322152572506155)
('opinions', 0.0033341799352598176)
('being', 0.0033341799352598176)
('shape', 0.0033341799352598176)
('human', 0.0033341799352598176)
('fifth', 0.0033341799352598176)
('mirrored', 0.0033341799352598176)
('customers', 0.0033341799352598176)
('somebody', 0.0033341799352598176)
('succeeded', 0.0033341799352598176)
('cheaper', 0.0033341799352598176)
('corollary', 0.0033341799352598176)
('cannot', 0.0033341799352598176)
('level', 0.0033341799352598176)
('slide', 0.0033341799352598176)
('processed', 0.0033341799352598176)
('activity', 0.0033341799352598176)
('debug', 0.0033341799352598176)
('defect', 0.0033341799352598176)
('tend', 0.0033341799352598176)
('reading', 0.0033341799352598176)
('common', 0.0033341799352598176)
('nature', 0.0033341799352598176)
('selecting', 0.0033341799352598176)
('subconscious', 0.0033341799352598176)
('benefit', 0.0033341799352598176)
('along', 0.0033341799352598176)
('allows', 0.0033341799352598176)
('job', 0.0033341799352598176)
('context', 0.0033341799352598176)
("can't", 0.0033341799352598176)
('rarely', 0.0033341799352598176)
('heads', 0.0033341799352598176)
('require', 0.0033341799352598176)
('spec', 0.0033341799352598176)
('economic', 0.0033341799352598176)
('surprisingly', 0.0033341799352598176)
('misunderstand', 0.0033341799352598176)
('associated', 0.0033341799352598176)
('taste', 0.0033341799352598176)
("didn't", 0.0033341799352598176)
('imagination', 0.0033341799352598176)
('aside', 0.0033341799352598176)
('details', 0.0033341799352598176)
('fourth', 0.0033341799352598176)
('verification', 0.0033341799352598176)
('evaluated', 0.0033341799352598176)
('badly', 0.0033341799352598176)
('uncommon', 0.0033341799352598176)
('blaming', 0.0033341799352598176)
('give', 0.0033341799352598176)
('proud', 0.0033341799352598176)
('tradeoff', 0.0033341799352598176)
('requires', 0.0033341799352598176)
('as', 0.003076366525858607)
('case', 0.002989235114402393)
('possible', 0.0028663478265276224)
('much', 0.0028663478265276224)
('still', 0.0027189066300880955)
('developer', 0.0027189066300880955)
('thinking', 0.0027189066300880955)
('easy', 0.0027189066300880955)
('easier', 0.0027189066300880955)
('couple', 0.0027189066300880955)
('mean', 0.0027189066300880955)
('methods', 0.0027189066300880955)
('written', 0.0027189066300880955)
('quite', 0.0027189066300880955)
('backwards', 0.0027189066300880955)
('impossible', 0.0027189066300880955)
('testable', 0.0027189066300880955)
('source', 0.0027189066300880955)
('few', 0.0027189066300880955)
('almost', 0.0027189066300880955)
('else', 0.0027189066300880955)
('buried', 0.0027189066300880955)
('simple', 0.0027189066300880955)
('huge', 0.0027189066300880955)
('once', 0.0027189066300880955)
('parts', 0.0027189066300880955)
('effectively', 0.0027189066300880955)
('individual', 0.0027189066300880955)
('some', 0.0024690622187756293)
('by', 0.0024610932206868856)
('those', 0.0024610932206868856)
('things', 0.0024610932206868856)
('okay', 0.0024610932206868856)
('not', 0.0022881435048337437)
('move', 0.00228236327280163)
('fix', 0.00228236327280163)
('save', 0.00228236327280163)
('global', 0.00228236327280163)
('several', 0.00228236327280163)
('bad', 0.00228236327280163)
('per', 0.00228236327280163)
('reasons', 0.00228236327280163)
('takes', 0.00228236327280163)
('tested', 0.00228236327280163)
('my', 0.00228236327280163)
('failed', 0.00228236327280163)
('end', 0.00228236327280163)
('earlier', 0.00228236327280163)
('important', 0.00228236327280163)
('needed', 0.00228236327280163)
('break', 0.00228236327280163)
('spend', 0.00228236327280163)
('left', 0.00228236327280163)
('want', 0.0022419263358017948)
('would', 0.0021036333249163743)
('there', 0.0021036333249163743)
('sort', 0.0021036333249163743)
('results', 0.0019437539384856818)
('means', 0.0019437539384856818)
('correctly', 0.0019437539384856818)
('let', 0.0019437539384856818)
('right', 0.0019437539384856818)
('basically', 0.0019437539384856818)
('talking', 0.0019437539384856818)
('extremely', 0.0019437539384856818)
('order', 0.0019437539384856818)
('for', 0.001936647795990413)
('just', 0.0018458199155151642)
('or', 0.0017838745520549896)
('kind', 0.0017838745520549896)
('get', 0.0017838745520549896)
('time', 0.0017838745520549896)
('better', 0.0016670899676299088)
('take', 0.0016670899676299088)
('set', 0.0016670899676299088)
('ourselves', 0.0016670899676299088)
('quick', 0.0016670899676299088)
('otherwise', 0.0016670899676299088)
('create', 0.0016670899676299088)
