24	25
28	30
36	37
186	187
239	258
260	261
265	280
281	286
288	291
292	295
300	301
309	310
324	326
348	349
381	386
389	392
394	411
440	458
498	503
704	714
718	727
733	748
749	751
756	757
768	769
786	795
796	797
798	813
830	842
881	899
900	901
908	910
1243	1250
1274	1287
1288	1289
1290	1293
1314	1326
1327	1340
1344	1345
1496	1501
1503	1506
1507	1510
1511	1517
1524	1531
1536	1542
1544	1551
1565	1567
1575	1577
1652	1659
1661	1666
1667	1683
1705	1707
1876	1879
1881	1883
1884	1885
1887	1901
1956	1969
1971	1975
1980	1984
2028	2029
2040	2041
2074	2080
2081	2095
2100	2101
2181	2191
2220	2225
2232	2233
2331	2332
2333	2337
2339	2341
2364	2365
2370	2371
2376	2377
2474	2476
2483	2495
2497	2500
2504	2508
2516	2520
2544	2545
2549	2553
2554	2565
2580	2581
2584	2586
2591	2599
2602	2603
2604	2605
2609	2612
2635	2638
2640	2650
2653	2656
2664	2694
2700	2701
2709	2710
2724	2725
2730	2731
3054	3068
3072	3073
3075	3076
3081	3094
3095	3098
3101	3112
3120	3121
3127	3129
3136	3139
3140	3145
3146	3157
3160	3164
3165	3175
3248	3250
3288	3304
3336	3337
3342	3357
3360	3361
3379	3385
3389	3391
3399	3402
3403	3405
3408	3409
3410	3415
3416	3424
3426	3435
3436	3441
3443	3452
3454	3469
3471	3472
3473	3476
3480	3481
