179	189
202	205
213	293
304	309
311	324
328	343
345	350
365	380
385	390
396	416
437	486
493	511
539	602
611	625
633	656
657	690
693	705
712	738
746	760
761	778
784	821
884	943
945	950
959	1041
1046	1057
1069	1076
1078	1083
1103	1116
1119	1172
1174	1185
1186	1220
1242	1260
1261	1289
1290	1310
1316	1381
1410	1415
1416	1421
1422	1477
1483	1488
1506	1633
1639	1644
1653	1664
1728	1788
1795	1905
1926	1933
1941	1983
2028	2042
2062	2067
2080	2118
2119	2133
2135	2169
2201	2234
2262	2271
2273	2323
2325	2380
2388	2399
2436	2441
2442	2447
2448	2502
2504	2509
2651	2683
2684	2730
2741	2746
2747	2767
2769	2817
2828	2872
2874	2897
2898	2912
2913	2974
2975	3117
3136	3141
3143	3148
3149	3202
3204	3209
3216	3281
3283	3318
3323	3328
3336	3355
3357	3422
3423	3461
3463	3525
3553	3558
3559	3563
3564	3607
3609	3611
3709	3785
3858	3867
3868	3875
3951	3991
3996	4005
4011	4023
4030	4040
4058	4063
4064	4106
4108	4119
4122	4196
4200	4225
4231	4291
4292	4301
4318	4330
4331	4336
4343	4389
4398	4412
4415	4625
4627	4684
4698	4735
